file,environment,trial_type,n_trials,channel,beta_power,frontal_asymmetry,aperiodic_exponent,aperiodic_offset,central_freq
31730_processed.fif,prelong,leave,1,A1,2.6176506427152308e-14,1.0265343529081896,1.3187835641246544,-12.267635488404688,8.999513518122267
31730_processed.fif,prelong,leave,1,T3,1.1757127703141026e-13,1.0265343529081896,0.8842393604704938,-12.398793679089845,10.618128642442928
31730_processed.fif,prelong,leave,1,O1,2.064374370261149e-13,1.0265343529081896,0.7021540242689779,-12.718909400867192,15.148016986407407
31730_processed.fif,prelong,leave,1,T5,1.5615313487248766e-13,1.0265343529081896,1.2875112520532113,-12.041758067967864,20.095151748025515
31730_processed.fif,prelong,leave,1,O2,9.322521149371651e-14,1.0265343529081896,0.8803800377618929,-12.584187608755705,17.58234924474049
31730_processed.fif,prelong,leave,1,F8,1.2724023681656257e-13,1.0265343529081896,1.479414923072187,-11.84315478774234,28.476453873872515
31730_processed.fif,prelong,leave,1,T6,1.0777391557727053e-13,1.0265343529081896,1.9018125569217588,-11.190765493730744,38.78362183754363
31730_processed.fif,prelong,leave,1,FZ,2.0973026324978945e-13,1.0265343529081896,0.6672341782942051,-12.522217126517791,16.59341601459436
31730_processed.fif,prelong,leave,1,FP2,1.8365945418050958e-13,1.0265343529081896,0.0888304535717612,-13.099441535757618,3.1131264842311706
31730_processed.fif,prelong,leave,1,F7,1.2710715742567058e-13,1.0265343529081896,1.0773118369690444,-12.125172802068287,8.574647002887579
31730_processed.fif,prelong,leave,1,FP1,2.202770059468785e-13,1.0265343529081896,0.3783188629823344,-12.85997942710738,40.256022106877516
31730_processed.fif,prelong,leave,1,CZ,4.6232287704966476e-14,1.0265343529081896,1.6314961831457853,-11.650800581317062,30.045546180712723
31730_processed.fif,prelong,leave,1,F3,1.0323440246055531e-12,1.0265343529081896,1.1482254110018602,-11.372316850175023,7.670069469999519
31730_processed.fif,prelong,leave,1,F4,1.8338291998145286e-13,1.0265343529081896,1.1595252155641012,-11.737120514270321,44.90554106622947
31730_processed.fif,prelong,leave,1,FCz,6.279044142078732e-14,1.0265343529081896,1.295278532454476,-12.05721472194201,30.383903677288153
31730_processed.fif,prelong,leave,1,T4,1.3867358473871034e-13,1.0056742287437714,1.5974496866726848,-11.54459766638234,19.15291593465066
31730_processed.fif,prelong,leave,1,A2,4.0843878522910766e-14,1.0056742287437714,1.6054071352019403,-11.868524343270638,14.561646058971016
31730_processed.fif,prelong,leave,1,C3,7.076819514904503e-14,1.0056742287437714,0.8506734542531226,-12.710665149510568,21.156437840247
31730_processed.fif,prelong,leave,1,C4,6.939032391174305e-14,1.0056742287437714,0.746421837068141,-12.723955020950102,10.175422145201278
31730_processed.fif,prelong,leave,1,A1,3.002875185208509e-14,1.0056742287437714,1.4642452589094967,-12.110439857975589,10.53266363636788
31730_processed.fif,prelong,leave,1,T3,9.634056283980641e-14,1.0056742287437714,0.2901684710870728,-13.15097118353503,10.67271668749211
31730_processed.fif,prelong,leave,1,O1,1.1162155786870982e-13,1.0056742287437714,1.4420807207470077,-11.917400339060805,28.912185435109617
31730_processed.fif,prelong,leave,1,T5,7.940933067497686e-14,1.0056742287437714,1.2335432455523012,-12.29710396735289,10.345508042236933
31730_processed.fif,prelong,leave,1,O2,1.3645391739097924e-13,1.0056742287437714,1.4791261240037783,-11.946810850841088,16.50053496948514
31730_processed.fif,prelong,leave,1,F8,1.1901424521809346e-13,1.0056742287437714,1.8380585381290837,-11.256057036275891,13.838919448139519
31730_processed.fif,prelong,leave,1,T6,1.2498011825200285e-13,1.0056742287437714,2.14456709179384,-10.470377726665486,39.795245785660725
